latitude,longitude,borough,countie
40.71907891179564,-73.94223690032959,Brooklyn,Kings County
40.746524,-73.977885,Manhattan,New York
40.66906013501107,-73.99463653564453,Brooklyn,Kings County
40.79025417330419,-73.97718340158461,Manhattan,New York
40.718822,-73.99596,Manhattan,New York
40.79313480986663,-73.97700369358063,Manhattan,New York
40.772248537721744,-73.95842134952545,Manhattan,New York
40.692418292578466,-73.98949474096298,Brooklyn,Kings County
40.752957,-74.00264,Manhattan,New York
40.76132983124814,-73.97982001304626,Manhattan,New York
40.76703432309872,-73.95622730255127,Manhattan,New York
40.721462562298164,-73.94800901412964,Brooklyn,Kings County
40.71915571696044,-73.94885390996933,Brooklyn,Kings County
40.71335226222875,-73.9491033554077,Brooklyn,Kings County
40.7103685423523,-73.94705951213837,Brooklyn,Kings County
40.68680820503432,-73.98036181926727,Brooklyn,Kings County
40.71638031973561,-73.94821286201477,Brooklyn,Kings County
40.76309387270797,-73.9783501625061,Manhattan,New York
40.75763227739443,-73.96930575370789,Manhattan,New York
40.714851505262516,-74.01122331619263,Manhattan,New York
