"year","month","day","num_trips"
"2020","03","3","49685"
"2020","03","4","58624"
"2020","03","5","58650"
"2020","03","6","34115"
"2020","03","7","39408"
"2020","03","8","46950"
"2020","03","9","68715"
"2020","03","10","64215"
"2020","03","11","61748"
"2020","03","12","51285"
"2020","03","13","43293"
"2020","03","14","44201"
"2020","03","15","36089"
"2020","03","16","29447"
"2020","03","17","24309"
"2020","03","18","30446"
"2020","03","19","20812"
"2020","03","20","31280"
"2020","03","21","31669"
"2020","03","22","19866"
"2020","03","23","3997"
"2020","03","24","20826"
"2020","03","25","12052"
"2020","03","26","21965"
"2020","03","27","26459"
"2020","03","28","8856"
"2020","03","29","9628"
"2020","03","30","15026"
"2020","03","31","14983"
"2020","04","1","20333"
"2020","04","2","18976"
"2020","04","3","11296"
"2020","04","4","28818"
"2020","04","5","25724"
"2020","04","6","24615"
"2020","04","7","23619"
"2020","04","8","20708"
"2020","04","9","14169"
"2020","04","10","16253"
"2020","04","11","33092"
"2020","04","12","31514"
"2020","04","13","7780"
"2020","04","14","25247"
"2020","04","15","22159"
"2020","04","16","19542"
"2020","04","17","18864"
"2020","04","18","15883"
"2020","04","19","46993"
"2020","04","20","21848"
"2020","04","21","17026"
"2020","04","22","23752"
"2020","04","23","19088"
"2020","04","24","12596"
"2020","04","25","58839"
"2020","04","26","9569"
"2020","04","27","17768"
"2020","04","28","39585"
"2020","04","29","21620"
"2020","04","30","14514"
"2020","05","1","24910"
"2020","05","2","72720"
"2020","05","3","63652"
"2020","05","4","32312"
"2020","05","5","35040"
"2020","05","6","17251"
"2020","05","7","43629"
"2020","05","8","17315"
"2020","05","9","27713"
"2020","05","10","54437"
"2020","05","11","22714"
"2020","05","12","35969"
"2020","05","13","40557"
"2020","05","14","41557"
"2020","05","15","52824"
"2020","05","16","80200"
"2020","05","17","63488"
"2020","05","18","39105"
"2020","05","19","40885"
"2020","05","20","45507"
"2020","05","21","48485"
"2020","05","22","47387"
"2020","05","23","22980"
"2020","05","24","72834"
"2020","05","25","67823"
"2020","05","26","53013"
"2020","05","27","55025"
"2020","05","28","46028"
"2020","05","29","53299"
"2020","05","30","87001"
"2020","05","31","80635"
"2020","06","1","52834"
"2020","06","2","46406"
"2020","06","3","28722"
"2020","06","4","39614"
"2020","06","5","33003"
"2020","06","6","56195"
"2020","06","7","80360"
"2020","06","8","60770"
"2020","06","9","61593"
"2020","06","10","63042"
"2020","06","11","43798"
"2020","06","12","72398"
"2020","06","13","89581"
"2020","06","14","79655"
"2020","06","15","57503"
"2020","06","16","65234"
"2020","06","17","63933"
"2020","06","18","62028"
"2020","06","19","79198"
"2020","06","20","80693"
"2020","06","21","72124"
"2020","06","22","59708"
"2020","06","23","67215"
"2020","06","24","66704"
"2020","06","25","69474"
"2020","06","26","73549"
"2020","06","27","59121"
"2020","06","28","69039"
"2020","06","29","61487"
"2020","06","30","65037"
"2020","07","1","63325"
"2020","07","2","73293"
"2020","07","3","59235"
"2020","07","4","70878"
"2020","07","5","64437"
"2020","07","6","45909"
"2020","07","7","67702"
"2020","07","8","63240"
"2020","07","9","76256"
"2020","07","10","22744"
"2020","07","11","66488"
"2020","07","12","84176"
"2020","07","13","68921"
"2020","07","14","76865"
"2020","07","15","78239"
"2020","07","16","79146"
"2020","07","17","69743"
"2020","07","18","80311"
"2020","07","19","66712"
"2020","07","20","58213"
"2020","07","21","70492"
"2020","07","22","51928"
"2020","07","23","65535"
"2020","07","24","66701"
"2020","07","25","87522"
"2020","07","26","72654"
"2020","07","27","62434"
"2020","07","28","70319"
"2020","07","29","77004"
"2020","07","30","72037"
"2020","07","31","70784"
"2020","08","1","88944"
"2020","08","2","69985"
"2020","08","3","67145"
"2020","08","4","44544"
"2020","08","5","81710"
"2020","08","6","79057"
"2020","08","7","59893"
"2020","08","8","90143"
"2020","08","9","82671"
"2020","08","10","68928"
"2020","08","11","75206"
"2020","08","12","65975"
"2020","08","13","62357"
"2020","08","14","83692"
"2020","08","15","92684"
"2020","08","16","38607"
