"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"116","2018-06-29 14:48:14.1610","2018-06-29 14:50:10.4810","3488","8D QC Station 01","45.506364054011385","-73.5694634914398","3488","8D QC Station 01","45.506364054011385","-73.5694634914398","24354","Customer","1969","0"
"825","2018-06-01 10:08:50.9450","2018-06-01 10:22:36.4350","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"853","2018-06-04 10:57:13.3630","2018-06-04 11:11:26.7190","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"122","2018-06-04 11:43:28.4900","2018-06-04 11:45:30.5010","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"75","2018-06-04 11:48:21.3120","2018-06-04 11:49:37.3110","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"82","2018-06-05 08:26:24.4980","2018-06-05 08:27:46.8000","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"67","2018-06-14 09:11:44.8490","2018-06-14 09:12:52.1560","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"1849","2018-06-14 09:14:21.4720","2018-06-14 09:45:10.5690","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"381","2018-06-14 10:15:39.7600","2018-06-14 10:22:01.1680","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"931","2018-06-19 09:56:20.1290","2018-06-19 10:11:52.0150","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"444","2018-06-19 11:51:43.0980","2018-06-19 11:59:08.0080","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"6348","2018-06-19 11:59:22.4440","2018-06-19 13:45:11.0230","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"64655","2018-06-19 14:37:01.0730","2018-06-20 08:34:36.3310","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"134","2018-07-11 14:35:16.5950","2018-07-11 14:37:31.0080","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","17667","Subscriber","1986","1"
